0,1,2,3,4
"(0, 0.55026615)","(1, 0.32090336)","(3, 0.12813531)",,
"(0, 0.58442056)","(1, 0.36011285)","(3, 0.054505873)",,
"(0, 0.5961343)","(1, 0.36861)","(2, 0.032022398)",,
"(0, 0.621677)","(1, 0.3628625)","(3, 0.01461855)",,
"(0, 0.69277954)","(1, 0.28382328)","(3, 0.02257406)",,
"(0, 0.58069813)","(1, 0.41530636)",,,
"(0, 0.59834605)","(1, 0.33621475)","(3, 0.028724162)","(4, 0.036333002)",
"(0, 0.63882715)","(1, 0.3567897)",,,
"(0, 0.493221)","(1, 0.47121)","(4, 0.032776505)",,
"(0, 0.57669073)","(1, 0.24373534)","(3, 0.17867984)",,
"(0, 0.5429305)","(1, 0.41267928)","(4, 0.039808422)",,
"(0, 0.63113797)","(1, 0.28771466)","(3, 0.08026239)",,
"(0, 0.6831446)","(1, 0.31352913)",,,
"(0, 0.60695565)","(1, 0.35344487)","(3, 0.038674127)",,
"(0, 0.48613092)","(1, 0.4388434)","(3, 0.07433307)",,
"(0, 0.5105914)","(1, 0.32879096)","(3, 0.15972114)",,
"(0, 0.5404357)","(1, 0.40230617)","(3, 0.056522064)",,
"(0, 0.7161812)","(1, 0.24178074)","(3, 0.03281853)",,
"(0, 0.6540351)","(1, 0.27517393)","(3, 0.06987786)",,
"(0, 0.6333444)","(1, 0.28781673)","(3, 0.060688086)","(4, 0.017693426)",
"(0, 0.4627022)","(1, 0.38963097)","(3, 0.14691235)",,
"(0, 0.68355423)","(1, 0.2861888)","(4, 0.027303971)",,
"(0, 0.5788867)","(1, 0.3543165)","(3, 0.06606462)",,
"(0, 0.7103849)","(1, 0.20266493)","(3, 0.08612969)",,
"(0, 0.4044079)","(1, 0.59217995)",,,
"(0, 0.5427706)","(1, 0.4181243)","(3, 0.03824221)",,
"(0, 0.52453744)","(1, 0.40480906)","(3, 0.06984313)",,
"(0, 0.42967924)","(1, 0.4827224)","(3, 0.08660454)",,
"(0, 0.23897143)","(1, 0.7184819)","(3, 0.041801836)",,
"(0, 0.6576424)","(1, 0.33916253)",,,
"(0, 0.543684)","(1, 0.35815555)","(3, 0.09750674)",,
